# SN       mJ    err    mu    err     M_J   err E(B-V) dm15 Host    Hostmorph  morph  MW-A_J    K_J     Reference      Sample
SN2011by 13.218 0.040 31.587 0.070 -18.369 0.081 0.01  1.14 NGC3972 SA(s)bc     3.5  0.009639 -0.0109  Friedman2015     CfA
SN2012cg 12.285 0.017 31.080 0.292 -18.795 0.292 0.25  0.97 NGC4424 SB(s)a      2.0  0.014499 -0.0053  Marion2016       CfA
