# SN       zcmb_lit   zcmb_nedhost +/-   zcmb_nedfinal +/- zflowcorrd   mJ    err  hostEBV dm15  HostGalaxy:Cluster            Hostmorph  morph   MW_AJ     K_J   Survey
SN2005el   0.0148     0.014894 0.000017  0.014894 0.000017  0.015044  15.445 0.016  0.015  1.34  NGC1819                       SB0         1.0   0.079137 -0.0412  CfA
SN2005eq   0.0284     0.028370 0.000087  0.028370 0.000087  0.028336  16.793 0.059  0.044  0.75  MCG-01-09-06                  SB(rs)cd?   4.5   0.050787 -0.0738  CfA
SN2006le   0.0173     0.017272 0.000027  0.017272 0.000027  0.018374  15.935 0.010  0.049  0.87  UGC3218                       SAb         3.0   0.284148 -0.0472  CfA
SN2006lf   0.013      0.012972 0.000027  0.012972 0.000027  0.012037  14.945 0.220  0.020  1.36  UGC3108                       S?          4.0   0.661041 -0.0367  CfA
SN2008hs   0.0166     0.016662 0.000087  0.017692 0.000050  0.018054  16.357 0.040  0.019  2.02  NGC910:Abell347               E+          0.0   0.040257 -0.0459  CfA
SN2008hv   0.0136     0.013589 0.000100  0.013589 0.000100  0.013816  15.249 0.02   0.074  1.25  NGC2765                       S0          1.0   0.022518 -0.0377  CfA
SN2009ad   0.0283     0.028336 0.000007  0.028336 0.000007  0.028587  16.880 0.031  0.045  1.03  UGC3236                       Sbc         3.5   0.077193 -0.0735  CfA
SN2009bv   0.0375     0.037459 0.000083  0.037459 0.000083  0.038302  17.552 0.028  0.076  1.00  MCG+06-29-39                  S           3.0   0.006156 -0.0929  CfA
SN2010Y    0.0113     0.011224 0.000107  0.011224 0.000107  0.012261  15.302 0.019  0.000  1.76  NGC3392                       E?          0.0   0.009477 -0.0320  CfA
SN2010ag   0.0338     0.033700 0.000177  0.033700 0.000177  0.033461  17.202 0.019  0.272  1.08  UGC10679                      Sb(f)       3.0   0.021222 -0.0863  CfA
SN2010ai   0.0193     0.019267 0.000137  0.023997 0.000063  0.022102  16.597 0.027  0.063  1.35  SDSSJ125925.04+275948.2:Coma  E           0.0   0.006642 -0.0474  CfA
PTF10bjs   0.0306     0.030551 0.000080  0.030551 0.000080  0.030573  17.033 0.029  0.000  1.01  MCG+09-21-83                  Sb          3.0   0.012150 -0.0773  CfA
SN2010ju   0.01535    0.015347 0.000013  0.015347 0.000013  0.015020  15.600 0.018  0.180  1.10  UGC3341                       SBab        2.5   0.291762 -0.0419  CfA
SN2010kg   0.01644    0.016455 0.000037  0.016455 0.000037  0.017021  15.822 0.019  0.268  1.40  NGC1633                       SAB(s)ab    2.5   0.105867 -0.0451  CfA
SN2011ao   0.01162    0.011631 0.000063  0.011631 0.000063  0.012164  14.885 0.028  0.029  0.90  IC2973                        SB(s)d      5.0   0.014094 -0.0339  CfA
