SN2006ax	0.017957	171.0125	-12.2834166667
filter J 
53817.26855	16.2800748025	0.045
53820.31554	15.861027546	0.016
53822.20513	15.7389077349	0.018
53826.12625	15.8191913045	0.01
53829.15031	16.0038406156	0.02
53830.12319	16.0868446847	0.026
53833.13269	16.419873022	0.007
53835.06483	16.6939571556	0.008
53837.21476	17.0283455497	0.037
53839.11867	17.3944542729	0.031
53843.14457	17.5721853208	0.011
53845.05674	17.5537885429	0.012
53848.13723	17.4117954803	0.039
53851.09603	17.3673135776	0.03
53855.08088	17.1464137446	0.027
53860.15593	17.0218010341	0.033
53864.07022	17.2339256772	0.019
53869.06946	17.6704466017	0.026
